Year,Month,Day
2010,1,8
2010,1,27
2010,3,16
2010,4,28
2010,5,9
2010,5,19
2010,6,22
2010,6,23
2010,7,14
2010,8,10
2010,9,21
2010,10,15
2010,11,2
2010,11,3
2010,12,14
2011,1,3
2011,1,14
2011,1,26
2011,2,16
2011,3,15
2011,4,5
2011,4,27
2011,5,18
2011,6,22
2011,7,12
2011,8,1
2011,8,9
2011,8,30
2011,9,21
2011,10,12
2011,11,2
2011,11,22
2011,11,28
2011,12,13
2012,1,3
2012,1,13
2012,1,25
2012,2,15
2012,3,13
2012,4,3
2012,4,25
2012,5,16
2012,6,20
2012,7,11
2012,8,1
2012,8,22
2012,9,13
2012,10,4
2012,10,24
2012,11,14
2012,12,12
2013,1,8
2013,1,12
2013,1,30
2013,2,20
2013,3,20
2013,4,10
2013,5,1
2013,5,22
2013,6,19
2013,7,10
2013,7,31
2013,8,21
2013,9,18
2013,10,9
2013,10,16
2013,10,30
2013,11,20
2013,12,18
2014,1,7
2014,1,10
2014,1,29
2014,2,19
2014,3,4
2014,3,19
2014,4,9
2014,4,30
2014,5,21
2014,6,18
2014,7,9
2014,7,30
2014,8,20
2014,9,17
2014,10,8
2014,10,29
2014,11,19
2014,12,17
2015,1,6
2015,1,16
2015,1,28
2015,2,18
2015,3,18
2015,4,8
2015,4,29
2015,5,20
2015,6,17
2015,7,8
2015,7,29
2015,8,19
2015,9,17
2015,10,8
2015,10,28
2015,11,18
2015,12,16
2016,1,4
2016,1,27
2016,2,17
2016,3,16
2016,3,21
2016,4,6
2016,4,27
2016,5,18
2016,6,15
2016,7,6
2016,7,27
2016,8,17
2016,9,21
2016,10,12
2016,11,2
2016,11,23
2016,12,14
2017,1,3
2017,1,13
2017,2,22
2017,3,15
2017,4,5
2017,5,3
2017,5,24
2017,6,14
2017,7,5
2017,7,26
2017,8,16
2017,9,20
2017,10,11
2017,11,22
2017,12,13
2018,1,9
2018,1,31
2018,2,16
2018,2,21
2018,3,21
2018,4,11
2018,5,2
2018,5,23
2018,6,13
2018,7,5
2018,8,22
2018,9,26
2018,10,17
2018,11,8
2018,11,29
2018,12,19
2019,1,3
2019,1,30
2019,2,20
2019,3,20
2019,4,10
2019,5,1
2019,5,22
2019,6,19
2019,7,10
2019,7,18
2019,7,31
2019,8,21
2019,9,18
2019,10,4
2019,10,9
2019,10,11
2019,10,30
2019,11,20
2019,12,11
2020,1,6
2020,1,16
2020,1,29
2020,2,19
2020,3,2
2020,3,3
2020,3,15
2020,3,18
2020,3,19
2020,3,23
2020,3,31
2020,4,8
2020,4,29
2020,5,20
2020,6,10
2020,7,1
2020,7,29
2020,8,19
2020,8,27
2020,9,16
2020,10,7
2020,11,5
2020,11,25
2020,12,16
2021,1,27
2021,3,17
2021,4,28
2021,6,16
2021,7,28
2021,9,22
2021,11,3
2021,12,15
2022,1,26
2022,3,16
2022,5,4
2022,6,15
2022,7,27
2022,9,21
2022,11,2
2022,12,14
2023,3,22
2023,5,3
2023,6,14
2023,7,26
2023,9,1
2023,9,20
2023,12,1
2023,12,13
2024,1,31
2024,3,1
2024,3,20
2024,6,12
2024,7,31
2024,9,18
2024,11,7
2024,12,18
2025,1,29
2025,3,19
2025,5,7
2025,6,18
2025,7,30
2025,8,22
2025,9,17
2025,10,29
2025,12,10
2026,1,28
2026,3,18
2026,4,29
2026,6,17
2026,7,29
2026,9,16
2026,10,28
2026,12,9
2027,1,27
2027,3,17
2027,4,28
2027,6,9
2027,7,28
2027,9,15
2027,10,27
2027,12,8
2027,12,20
